,course_info_ER
0,experte prozessmanagement aktuell vorherrschend situation arbeitsmarkt gestalten wandelbar schnelllebig globalisierung technisierung tragen anteil verschieden kultur treffen arbeitsleben aufeinander verschieden abteilung aufgabenbereich treffen aufeinander komplex  ziel maßnahme weiterbildung prozessmanagement teilnehmenden solide basis gebiet prozessmanagement vermitteln fach wissensbereich unabdingbar kurzbeschreibung darstellen  verständnis zukünftig spezialist bereich prozessmanagement ausbilden theoretisch wissen vermitteln teilnehmer weiterbildung prozessmanagement lage versetzen professionell prozessmanager praxis auftreten richtig werkzeug hand geben teilnehmer weiterbildung prozessmanagement lage versetzen führen organisieren bevor situation prozeß unternehmen analysieren optimieren  weiterbildung prozessmanagement wiederholen reflektionstag erarbeitet inhalt festigen somit zusätzlich erworben fachlich inhalt
1,experte cloud computing cloud computing bedarfsabhängig bereitstellung itressource internet nutzungsabhängig preis physisch rechenzentrum server erwerben besitzen unterhalten cloudanbieter amazon web services aws google cloud microsoft azure bedarf technologieservices beispielsweise rechenleistung speicher datenbanke zugreifen unser artikel cloud computing nachlesen  cloud computing  amazon web services  google cloud  microsoft azure  praktische übung
2,experte investition finanzierung aktuell vorherrschend situation arbeitsmarkt gestalten groß werdend wettbewerbsdruck wandelbar schnelllebig globalisierung technisierung tragen anteil vergrößern stetig wettbewerbsdruck solide investition finanzierungsstrategie unternehmen zeit behaupten unabdingbar überlebenswichtig  ziel maßnahme weiterbildung investition finanzierung teilnehmenden solide basis gebiet investition finanzierung vermitteln fach wissensbereich relevant kurzbeschreibung darstellen  verständnis zukünftig spezialist bereich investition finanzierung weiterbilden theoretisch wissen vermitteln teilnehmer weiterbildung investition finanzierung lage versetzen professionell spezialist praxis auftreten richtig werkzeug hand geben  weiterbildung investition finanzierung wiederholen reflektionstag erarbeitet inhalt festigen somit zusätzlich erworben fachlich inhalt  * einteilung finanzmarkt  * finanzwirtschaftliche aufgabe ziel  * investition finanzplanung  * investitionsrechnung beurteilung sachinvestition  * investitionsrechnung einflussgröße beurteilung finanzinvestition  * beteiligungsfinanzierung  * kreditfinanzierung mezzaninefinanzierung innenfinanzierung  * bonität  * derivate finanzswaps  * unbedingt termingeschäfte  * welt fördermittel
3,experte unternehmensaufbau organisation kurs zielen verbesserung führungsqualität teilnehmer aktuell vorherrschend situation arbeitsmarkt gestalten extrem wandelbar schnelllebig globalisierung technisierung tragen anteil verschieden kultur treffen arbeitsleben aufeinander verschieden abteilung aufgabenbereich treffen aufeinander komplex gelten zukünftig führungskraft überblick behalten effizient klar strukturieren agieren  unternehmerperson  marktanalyse  wettbewerbsanalyse  unternehmensanalyse  vertrieb  marketing  businessplan  förderung finanzierung
4,experte unternehmensführung aktuell vorherrschend situation arbeitsmarkt gestalten wandelbar schnelllebig globalisierung technisierung tragen anteil verschieden kultur treffen arbeitsleben aufeinander verschieden abteilung aufgabenbereich treffen aufeinander komplex  ziel maßnahme weiterbildung unternehmensführung teilnehmenden solide basis gebiet unternehmensführung vermitteln fach wissensbereich unabdingbar kurzbeschreibung darstellen  verständnis zukünftig führungskraft ausbilden theoretisch wissen vermitteln teilnehmer lage versetzen professionell führungskraft praxis auftreten richtig werkzeug hand geben teilnehmer weiterbildung unternehmensführung lage versetzen führen organisieren bevor situation mitarbeiter führen organisieren  teilnehmer weiterbildung unternehmensführung herauszuarbeiten stärke schwäche liegen individuell führungsstil ausarbeiten arbeiten gallupstrengthfindertest bekommen teilnehmer dazugehörig buch individuell auswertung test statusquo weiterbildung mitnehmen anschließend grundlegend fachwissen bereich unternehmensführung vermitteln  weiterbildung wiederholen reflektionstag erarbeitet inhalt nochmal teilnehmer individuell ergebnis galluptest besprechen erworben theoretisch fachkenntnis zusammenbringen teilnehmer rüstzeug erarbeiten spät arbeitsalltag führungskraft benötigen
5,itprojektmanagement aktuell vorherrschend situation arbeitsmarkt gestalten wandelbar schnelllebig globalisierung technisierung tragen anteil verschieden kultur treffen arbeitsleben aufeinander verschieden abteilung aufgabenbereich treffen aufeinander komplex  ziel maßnahme teilnehmenden solide basis gebiet itprojektmanagement vermitteln fach wissensbereich unabdingbar kurzbeschreibung darstellen  verständnis zukünftig spezialist bereich itprojektmanagement ausbilden theoretisch wissen vermitteln teilnehmer lage versetzen professionell itprojektleiter praxis auftreten richtig werkzeug hand geben teilnehmer lage versetzen führen organisieren bevor situation projekt mehrere beteiligter führen organisieren  weiterbildung itprojektmanagement wiederholen reflektionstag erarbeitet inhalt festigen somit zusätzlich erworben fachlich inhalt  * itprojekte erfolgreich managen  * projektportfoliomanageme  * agiles itprojektmanagement  * prozessorientiertes projektmanagement  * erfolgreich abschluss itprojekt  * personalplanung personaleinsatz itprojekt  * kosten finanzmanagement itprojekte  * aufwandschätzung itprojekt  * scorecard report  werkzeug itprojektcontrolling  * qualitätsmanagement itprojekte  * risikomanagement itprojekte  * itprojektmarketing  * compliance itprojekt  * stakeholdermanagement itprojekte
6,php programmierer datenbankentwickler php hypertext preprocessor quelloffen serverseitig skriptsprache extrem beliebt august nutzen fast % website php anzeichen nutzung nächster verlangsamen kostenlos heruntergeladen verwenden leistungsstark groß website internet betreiben wordpress facebook wikipedia nennen  einführung php  grundlage php  php fortgeschrittene  bibliothek classe  mvc model view controller  objekt orientiert programmierung oop  praktische übung
7,programmierung php framework laravel symfony zend php hypertext preprocessor quelloffen serverseitig skriptsprache extrem beliebt august nutzen fast % website php anzeichen nutzung nächster verlangsamen kostenlos heruntergeladen verwenden leistungsstark groß website internet betreiben wordpress facebook wikipedia nennen  php framework  unterschied vorteil nachteil  php laravel  php zend  php symfony  praktische übung
8,shopsystem administrator ziel maßnahme teilnehmer solide basis gebiet administration onlineshop verschaffen grundlage geschäftsprozeß onlinehandel vertiefen onlineshop system behandeln anlegen produkt verwalten kategorie bearbeitung bestellung einstellung onlineshop system vornehmen bezahlmethode versandmethod kundenbindung gutschein rabatt abgerundet maßnahme analyse tool solide basis datenverständnis verkaufskanäl vermitteln richtig schlussfolgerung ziehen teilnehmer abschluss maßnahme lage shopsystem bedienen einrichten verwalten datum analysieren kunde produkt bestellmanagement übernehmen passend bezahl versandmethod auswählen einrichten  online shopsystem überblick magento  online shopsystem überblick shopify  online shopsystem überblick shopware  multichannel strategie social shopping  onlinemarketinggrundlag  seogrundlagen onlineshop  conversion optimierung  webanalyse onlineshop  kaufmännisches & rechtliches
9,socialmedia manager ziel maßnahme teilnehmer solide basis gebiet social media verschaffen grundlage marketing social media landschaft unternehmen vertiefen erarbeitung strategie behandeln bezahlt werbung social media erstellung reaktionsplane entsprechend zielsetzung social media manager grafikdesigner arbeiten passend content socialmediakanal kreieren abgerundet maßnahme analyse tool solide basis datenverständnis social media kanäle richtig schlussfolgerung ziehen teilnehmer abschluss maßnahme lage social media strategie unternehmen entwickeln passend socialmediakanal auswählen bedienen datum analysieren community management reputationsmanagement übernehmen passend influencer auswählen  grundlage social media  social media strategie  linkedin marketing  instagram marketing  facebook marketing  performance marketing social media  community management social media marketing  erfolg messen monitoring tool  corporate blog content seeding
10,starte heranführung selbstständig tätigkeit heranführung selbstständig tätigkeit umfangreich unterfangen jeder vorhaben gründungsperson individuell betrachten jeweilig vorerfahrung zusammenhängend schwerpunkt beratung auffangen weiterentwickeln  ziel maßnahme allererster linie erfolgreich aufnahme selbstständig tätigkeit klient überdauer tätigkeit bzw. vermeidung rücktritt arbeitsmarkt
11,vermarktungsstrategie online offline aktuell vorherrschend situation arbeitsmarkt gestalten groß werdend wettbewerbsdruck wandelbar schnelllebig globalisierung technisierung tragen anteil vergrößern stetig wettbewerbsmarkt solide vermarktungsstrategie online offline unternehmen zeit behaupten unabdingbar überlebenswichtig  ziel maßnahme teilnehmenden solide basis gebiet vermarktungsstrategie vermitteln fach wissensbereich relevant kurzbeschreibung darstellen  verständnis zukünftig spezialist bereich marketing weiterbilden theoretisch wissen vermitteln teilnehmer lage versetzen professionell marketingspezialiste praxis auftreten richtig werkzeug hand geben  weiterbildung investition finanzierung wiederholen reflektionstag erarbeitet inhalt festigen somit zusätzlich erworben fachlich inhalt
12,webentwicklung 2.0 html5 css3 wordpress ziel maßnahme teilnehmer solide basis bereich web 2.0 verschaffen grundlage html wordpress wichtig cms system onlinemarketing betrachten verständnis grundwissen html wordpress onlinemarketing manager wichtig grundbaustein bieten  inhalt webseite selbstständig einpflegen seo  optimieren kommunikation itabteilung teilnehmer abschluss maßnahme lage webseite betreuen entscheidung treffen neueinführung cmssystem  einführung thema webentwicklung  grundlage html css  cms system überblick  wordpress einführung  webseite wordpress  woocommerce
13,zukunftswert mensch tiefgreifendwirksame individuell unterstützung erfolgreich integration arbeitsmarkt oberer aufgabe agentur arbeit jobcenter möchten anschließen psychologisch knowhow beitragen agentur jobcenter herausforderung bestmöglich meistern  erfahrung primär mensch lang monat arbeitssuchend zunehmend schwierig sicher reintegration gewährleisten mensch innerhalb seelisch stark abbauen beginnen frage stellen selbstwert sinken chance potenziell arbeitgeber positiv überzeugen psychosozial zermürbung setzen sukzessive
14,weiterbildung wildnispädagogik freuen intensiv umfassend module gemeinsam erleben möchten welt wildnispädagogik einführen pädagogisch handwerkszeug blickwinkel welt vermitteln erden verständnis geben unterstützen mensch ebenfalls natur naturverbindung führen  unser schwerpunkt gemeinschaft wildnis erlebnispädagogisch spiel alt handwerk naturspiritualität möchten ausgewogen ausbildung bieten  ebenfalls sprache vogel spurenlese vermitteln  module feuermach achtsamkeits wahrnehmungsübung wildnislieder kräuterkunde  transfomierend weiterbildung schwitzhüttenwochenende beschließen wunderbar sian medizinrad schwitzhütte leiten  ort weiterbildung lausitz schwitzhüttenwochenende nordöstlich berlin stattfinden
15,qualifizierung anerkennung erzieher*inn iq netzwerk brandenburg april erzieher*in pädagogisch abschluss ausland voll anerkennung qualifizieren  qualifizierung bestehend basismodul kind jugendhilfe wahlpflichtmodul hilfe erziehung jugend jugendsozialarbeit praxisstunde  qualifizierung berufsbegleitend absolvieren  seminartag finden donnerstag freitag bildungseinrichtung neuruppin insgesamt unterrichtsstunde praxisstunde innerhalb zeitraum 30.06. 18.11.2022 absolvieren nachweisen  konzept ministerium bildung jugend sport staatlich schulamt cottbus abstimmen gewährleisten teilnehmenden qualifizierung relevant inhalt erwerben  programm bundesministerium arbeit soziale bmas europäisch sozialfonds esf fördern
